dataset,primary_dataset,minp_gev,maxp_gev,depth,nfiles_total,nfiles_read,nlumis,events_tried,events_passed,events_stored,efficiency,efficiency_err,only_filter_is_cosmicInTracker,status
/CosmicToMu_Par-MinP-47500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-47500-MinTheta-91-MaxTheta-179_cosmuogen,47500,,none,51,5,25,1526375,20801,20801,0.01362771,0.00009384,yes,ok
/CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,5000,,e2,25,5,45,3506895,47472,47472,0.01353676,0.00006171,yes,ok
/CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,5000,,e3,24,5,55,4232140,57028,57028,0.01347498,0.00005605,yes,ok
/CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,5000,,e4,21,5,60,4487220,59883,59883,0.01334523,0.00005417,yes,ok
/CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,5000,,e5,23,5,55,4049595,53858,53858,0.01329960,0.00005693,yes,ok
/CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,5000,,e6,39,5,320,2118080,28532,28532,0.01347069,0.00007921,yes,ok
/CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-5000-MinTheta-91-MaxTheta-179_cosmuogen,5000,,none,24,5,52,2763248,51379,51379,0.01859370,0.00008126,yes,ok
/CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,50000,,e2,36,5,35,2447550,33163,33163,0.01354947,0.00007390,yes,ok
/CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,50000,,e3,35,5,35,2499980,33745,33745,0.01349811,0.00007298,yes,ok
/CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,50000,,e4,41,5,30,2054790,27569,27569,0.01341694,0.00008026,yes,ok
/CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,50000,,e5,45,5,28,1842092,24569,24569,0.01333755,0.00008452,yes,ok
